user_id,name,current_position,target_position,competency,current_level,required_level,signed_gap,unmet_gap,gap_status,recommendation,readiness,provenance
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Digital Tools,2,3,1,1,MEDIUM,Microsoft Excel Advanced,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Critical Thinking,3,3,0,0,NO_GAP,NOT_NEEDED,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Survey Data Collection,3,3,0,0,NO_GAP,NOT_NEEDED,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Communication,3,4,1,1,MEDIUM,NO_VERIFIED_COURSE,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Sampling Frames and UFS,3,3,0,0,NO_GAP,NOT_NEEDED,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Geospatial Tools,3,3,0,0,NO_GAP,NOT_NEEDED,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Leadership,2,3,1,1,MEDIUM,NO_VERIFIED_COURSE,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Collaboration,3,3,0,0,NO_GAP,NOT_NEEDED,CRITICAL_GAPS,DERIVED
USR-001,Aarav Demo,Junior Statistical Officer: Field Surveys,Senior Statistical Officer: Field Supervision,Sampling Methodology,2,4,2,2,HIGH,NO_VERIFIED_COURSE,CRITICAL_GAPS,DERIVED
USR-002,Isha Demo,Junior Statistical Officer: Enterprise Data,Senior Statistical Officer: Enterprise Quality,Critical Thinking,3,3,0,0,NO_GAP,NOT_NEEDED,NEAR_READY,DERIVED
USR-002,Isha Demo,Junior Statistical Officer: Enterprise Data,Senior Statistical Officer: Enterprise Quality,Industrial Statistics,3,3,0,0,NO_GAP,NOT_NEEDED,NEAR_READY,DERIVED
USR-002,Isha Demo,Junior Statistical Officer: Enterprise Data,Senior Statistical Officer: Enterprise Quality,Statistical Analysis,3,4,1,1,MEDIUM,NO_VERIFIED_COURSE,NEAR_READY,DERIVED
USR-003,Kabir Demo,Junior Statistical Officer: Price Data,Senior Statistical Officer: Price Indices,Critical Thinking,3,3,0,0,NO_GAP,NOT_NEEDED,CRITICAL_GAPS,DERIVED
